_id,colCode,colName,branCode,branName
6457ad9abd452186e59e361e,1061003,"Government Arts College, Thanthonimalai (Autonomous), Karur - 639005",SCSE1,B.Sc. Computer Science (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e3610,1061002,"Thanthai Periyar Government Arts and Science College (Autonomous), Tiruchirapalli- 620023",CCOE2,B.Com. (Commerce) (E/M) ( 2ND SHIFT )
6457ad9abd452186e59e3620,1061003,"Government Arts College, Thanthonimalai (Autonomous), Karur - 639005",SGET1,B.Sc. Geography (T/M) ( 1ST SHIFT )
6457ad9abd452186e59e3622,1061003,"Government Arts College, Thanthonimalai (Autonomous), Karur - 639005",SMAE1,B.Sc. Maths (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e3625,1061003,"Government Arts College, Thanthonimalai (Autonomous), Karur - 639005",SPHE1,B.Sc. Physics (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e3628,1061003,"Government Arts College, Thanthonimalai (Autonomous), Karur - 639005",SZOE1,B.Sc. Zoology (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e35bf,1051016,"Government Arts and Science College, Nannilam - 610105",CBAE1,B.B.A.  Business  Administration (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e35dc,1061001,"H.H. The Rajah's College (Autonomous), Pudukkottai - 622001",LTLT1,B.Lit. Tamil ( 1ST SHIFT )
6457ad9abd452186e59e3635,1061004,"Arignar Anna Government Arts College, Musiri- 621201",SPHT1,B.Sc. Physics (T/M) ( 1ST SHIFT )
6457ad9abd452186e59e3638,1061004,"Arignar Anna Government Arts College, Musiri- 621201",CCOE1,B.Com. (Commerce) (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e3640,1062005,"Kalaignar Karunanidhi Government Arts College for Women (Autonomous), Pudukkottai- 622001",ATTE1,B.A. Tourism & Travel Management (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e3634,1061004,"Arignar Anna Government Arts College, Musiri- 621201",SPHE1,B.Sc. Physics (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e35c7,1051018,"Government Arts and Science College, Jayankondam - 621802",LTAT1,B.A. Tamil ( 1ST SHIFT )
6457ad9abd452186e59e364e,1062005,"Kalaignar Karunanidhi Government Arts College for Women (Autonomous), Pudukkottai- 622001",SZOE1,B.Sc. Zoology (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e3642,1062005,"Kalaignar Karunanidhi Government Arts College for Women (Autonomous), Pudukkottai- 622001",AECT1,B.A. Economics (T/M) ( 1ST SHIFT )
6457ad9abd452186e59e35cd,1051019,"Government Arts and Science College, Kuthalam - 609810",LTAT1,B.A. Tamil ( 1ST SHIFT )
6457ad9abd452186e59e3470,1041016,"Government Arts and Science College, Veerapandi -625534",AECE1,B.A. Economics (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e3650,1062005,"Kalaignar Karunanidhi Government Arts College for Women (Autonomous), Pudukkottai- 622001",CCOE2,B.Com. (Commerce) (E/M) ( 2ND SHIFT )
6457ad9abd452186e59e3476,1041014,"Government Arts and Science College, ESI Hospital, Anaiyur Panchayat, Sivakasi - 626124",AHIE1,B.A. History (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e347a,1041016,"Government Arts and Science College, Veerapandi -625534",SMAE1,B.Sc. Mathematics (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e3478,1041014,"Government Arts and Science College, ESI Hospital, Anaiyur Panchayat, Sivakasi - 626124",AECE1,B.A. Economics (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e3484,1042019,"Government Arts and Science College for Women, Kodaikanal - 624101",LENE1,B.A. English ( 1ST SHIFT )
6457ad9abd452186e59e3623,1061003,"Government Arts College, Thanthonimalai (Autonomous), Karur - 639005",SMAT1,B.Sc. Maths (T/M) ( 1ST SHIFT )
6457ad9abd452186e59e3481,1041018,Government Arts and Science College Aundipatti- 625512,SMAE1,B.Sc. Mathematics (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e362b,1061003,"Government Arts College, Thanthonimalai (Autonomous), Karur - 639005",SCSE2,B.Sc. Computer Science (E/M) ( 2ND SHIFT )
6457ad9abd452186e59e35d2,1051020,"Government Arts and Science College, Thirukkattupalli-613104",LTAT1,B.A. Tamil Literature ( 1ST SHIFT )
6457ad9abd452186e59e3498,1041022,"Government Arts and Science College, Thaneerpanthampatti, Eriyodu - 624702, Vedasandur,Dindigul.",SMAE1,B.Sc. Mathematics (E/M)  ( 1ST SHIFT )
6457ad9abd452186e59e3497,1041022,"Government Arts and Science College, Thaneerpanthampatti, Eriyodu - 624702, Vedasandur,Dindigul.",LENE1,B.A. English Literature ( 1ST SHIFT )
6457ad9abd452186e59e3499,1041022,"Government Arts and Science College, Thaneerpanthampatti, Eriyodu - 624702, Vedasandur,Dindigul.",CCOE1,B.Com. Commerce (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e349d,1041023,"Government Arts and Science College, Thirumangalam-625008 ",SMAE1,B.Sc. Mathematics (E/M)  ( 1ST SHIFT )
6457ad9abd452186e59e34a1,1042024,"Government Arts and Science College for Women, Mudukulathur Road, Paramakudi, Ramanathapuram - 623707",LENE1,B.A. English Literature ( 1ST SHIFT )
6457ad9abd452186e59e34b3,1041028,"Government Arts and Science College, Tiruchuli-626129",LENE1,B.A. English Literature ( 1ST SHIFT )
6457ad9abd452186e59e34a7,1041026,"Government Arts and Science College, Srivilliputhur, Virudhunagar - 626125",LENE1,B.A. English Literature ( 1ST SHIFT )
6457ad9abd452186e59e34b7,1041029,"Government Arts and Science College, Oddanchatram-624619",LTAT1,B.A. Tamil Literature ( 1ST SHIFT )
6457ad9abd452186e59e34ca,1051001,"Government Arts College (Autonomous), Kumbakonam- 612002",SCHE1,B.Sc. Chemistry (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e34dd,1052002,Government College for Women(Autonomous) Kumbakonam- 612001,SMAE1,B.Sc. Mathematics (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e34d8,1052002,Government College for Women(Autonomous) Kumbakonam- 612001,AHIE1,B.A. History (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e34ee,1052002,Government College for Women(Autonomous) Kumbakonam- 612001,CCOE2,B.Com. (Commerce) (E/M) ( 2ND SHIFT )
6457ad9abd452186e59e34f5,1051003,"Government Arts College, Ariyalur - 621713",CCOE1,B.Com. (Commerce) (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e34f2,1051003,"Government Arts College, Ariyalur - 621713",AECT1,B.A. Economics (T/M) ( 1ST SHIFT )
6457ad9abd452186e59e34f9,1051003,"Government Arts College, Ariyalur - 621713",SPHT1,B.Sc. Physics (T/M) ( 1ST SHIFT )
6457ad9abd452186e59e34f8,1051003,"Government Arts College, Ariyalur - 621713",SPHE1,B.Sc. Physics (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e34fc,1051003,"Government Arts College, Ariyalur - 621713",SBOT1,B.Sc. Botany (T/M) ( 1ST SHIFT )
6457ad9abd452186e59e3500,1051003,"Government Arts College, Ariyalur - 621713",SCSE1,B.Sc. Computer Science (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e3503,1051003,"Government Arts College, Ariyalur - 621713",LTAT2,B.A. Tamil ( 2ND SHIFT )
